,Rank,Total Score,Max Score,Mean Score,NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
189,1,114180.0000000016,166.8,108.95038167938928,150,2,1502,Mega Mewtwo X,Psychic,Fighting,Purple,Steadfast,,,1.0,1.0,1.0,2.3,127.0,106,190,100,154,100,130,780
458,2,111245.59999999995,164.0,106.1503816793893,384,2,3842,Mega Rayquaza,Dragon,Flying,Green,Delta Stream,,,3.0,1.0,1.0,10.8,392.0,105,180,100,180,100,115,780
461,2,111245.59999999995,164.0,106.1503816793893,386,2,3862,Deoxys,Psychic,,Red,Pressure,,,3.0,1.0,0.0,1.7,60.8,50,180,20,180,20,150,600
456,3,104957.59999999995,158.0,100.1503816793893,383,2,3832,Primal Groudon,Ground,Fire,Red,Desolate Land,,,3.0,1.0,1.0,5.0,999.7,100,180,160,150,90,90,770
941,4,97621.59999999993,151.0,93.15038167938931,800,4,8004,Necrozma,Psychic,Dragon,Yellow,Neuroforce,,,7.0,1.0,0.0,7.5,230.0,97,167,97,167,97,129,754
850,5,92381.59999999993,146.0,88.1503816793893,720,2,7202,Hoopa,Psychic,Dark,Purple,Magician,,,6.0,1.0,0.0,6.5,490.0,80,160,60,170,130,80,680
531,6,90285.59999999993,144.0,86.1503816793893,445,2,4452,Mega Garchomp,Dragon,Ground,Blue,Sand Force,,,4.0,0.0,1.0,1.9,95.0,108,170,115,120,95,92,700
848,6,90285.59999999993,144.0,86.1503816793893,719,2,7192,Mega Diancie,Rock,Fairy,Pink,Magic Bounce,,,6.0,1.0,1.0,1.1,27.8,50,160,110,160,110,110,700
761,6,90285.59999999993,144.0,86.1503816793893,646,3,6463,Kyurem,Dragon,Ice,Grey,Terabolt,,,5.0,1.0,0.0,3.3,325.0,125,170,100,120,90,95,700
190,7,89028.00000000135,142.8,84.9503816793893,150,3,1503,Mega Mewtwo Y,Psychic,,Purple,Insomnia,,,1.0,1.0,1.0,1.5,33.0,106,150,70,194,120,140,780
936,8,86722.4000000004,140.60000000000002,82.7503816793893,798,1,7981,Kartana,Grass,Steel,White,Beast Boost,,,7.0,1.0,0.0,0.3,0.1,59,181,131,59,31,109,570
258,9,86093.59999999995,140.0,82.15038167938931,214,2,2142,Mega Heracross,Bug,Fighting,Blue,Skill Link,,,2.0,0.0,1.0,1.7,62.5,80,185,115,40,105,75,600
454,9,86093.59999999995,140.0,82.15038167938931,382,2,3822,Primal Kyogre,Water,,Blue,Primordial Sea,,,3.0,1.0,1.0,9.8,430.0,100,150,90,180,160,90,770
306,10,83997.59999999995,138.0,80.15038167938931,257,2,2572,Mega Blaziken,Fire,Fighting,Red,Speed Boost,,,3.0,0.0,1.0,1.9,52.0,80,160,80,130,80,100,630
1033,11,81901.59999999996,136.0,78.15038167938931,888,2,8882,Zacian,Fairy,Steel,Blue,Intrepid Sword,,,8.0,1.0,0.0,2.8,355.0,92,170,115,80,115,148,720
419,12,80434.40000000027,134.6,76.7503816793893,354,2,3542,Mega Banette,Ghost,,Black,Prankster,,,3.0,0.0,1.0,1.2,13.0,64,165,75,93,83,75,555
295,13,80015.19999999873,134.2,76.35038167938933,248,2,2482,Mega Tyranitar,Rock,Dark,Green,Sand Stream,,,2.0,0.0,1.0,2.0,255.0,100,164,150,95,120,71,700
801,14,79805.59999999999,134.0,76.15038167938931,681,2,6812,Aegislash,Steel,Ghost,Brown,Stance Change,,,6.0,0.0,0.0,1.7,53.0,60,150,50,150,50,60,520
457,14,79805.59999999999,134.0,76.15038167938931,384,1,3841,Rayquaza,Dragon,Flying,Green,Air Lock,,,3.0,1.0,0.0,7.0,206.5,105,150,90,150,90,95,680
460,14,79805.59999999999,134.0,76.15038167938931,386,1,3861,Deoxys,Psychic,,Red,Pressure,,,3.0,1.0,0.0,1.7,60.8,50,150,50,150,50,150,600
1046,15,78757.59999999996,133.0,75.15038167938931,898,2,8982,Calyrex,Psychic,Ice,White,As One,,,8.0,1.0,0.0,2.4,809.1,100,165,150,85,130,50,680
